linea,hour,total_viajes
LineaA,0,369
LineaA,2,3
LineaA,3,1
LineaA,4,12
LineaA,5,154541
LineaA,6,946771
LineaA,7,2864020
LineaA,8,3624762
LineaA,9,2959524
LineaA,10,2252305
LineaA,11,2278183
LineaA,12,2723679
LineaA,13,2922151
LineaA,14,2703966
LineaA,15,2979526
LineaA,16,3433127
LineaA,17,3826092
LineaA,18,2990805
LineaA,19,1820354
LineaA,20,1358371
LineaA,21,854769
LineaA,22,408504
LineaA,23,68236
LineaB,0,264
LineaB,1,40
LineaB,5,232145
LineaB,6,1169067
LineaB,7,2968890
LineaB,8,3870450
LineaB,9,3203050
LineaB,10,2550265
LineaB,11,2623750
LineaB,12,3199841
LineaB,13,3421986
LineaB,14,3209479
LineaB,15,3545000
LineaB,16,4224695
LineaB,17,4769370
LineaB,18,4267344
LineaB,19,2734773
LineaB,20,2088064
LineaB,21,1389514
LineaB,22,799903
LineaB,23,155235
LineaB,30,23
LineaB,45,51
LineaC,0,49
LineaC,1,2
LineaC,3,1
LineaC,5,432663
LineaC,6,1812631
LineaC,7,3019575
LineaC,8,3473270
LineaC,9,2702795
LineaC,10,1858100
LineaC,11,1719405
LineaC,12,1751102
LineaC,13,1935631
LineaC,14,1757647
LineaC,15,1896990
LineaC,16,2174533
LineaC,17,2542611
LineaC,18,2181037
LineaC,19,1320903
LineaC,20,979678
LineaC,21,638670
LineaC,22,299648
LineaC,23,31626
LineaD,0,294
LineaD,1,8
LineaD,2,2
LineaD,3,10
LineaD,4,34
LineaD,5,73479
LineaD,6,534401
LineaD,7,1727723
LineaD,8,2311176
LineaD,9,2075566
LineaD,10,1781560
LineaD,11,1874620
LineaD,12,2301292
LineaD,13,2458019
LineaD,14,2277243
LineaD,15,2622205
LineaD,16,3130229
LineaD,17,3465125
LineaD,18,3055658
LineaD,19,1983219
LineaD,20,1513926
LineaD,21,918673
LineaD,22,444430
LineaD,23,57372
LineaE,0,166
LineaE,2,1
LineaE,4,6
LineaE,5,109566
LineaE,6,507067
LineaE,7,1350590
LineaE,8,1660228
LineaE,9,1281697
LineaE,10,951517
LineaE,11,1096374
LineaE,12,1284466
LineaE,13,1184260
LineaE,14,1041043
LineaE,15,1272618
LineaE,16,1666998
LineaE,17,2185875
LineaE,18,1740156
LineaE,19,957003
LineaE,20,753680
LineaE,21,651032
LineaE,22,326655
LineaE,23,31335
LineaH,0,303
LineaH,4,1
LineaH,5,102705
LineaH,6,632387
LineaH,7,1673735
LineaH,8,1899989
LineaH,9,1483370
LineaH,10,1207421
LineaH,11,1254833
LineaH,12,1508557
LineaH,13,1539246
LineaH,14,1374446
LineaH,15,1500102
LineaH,16,1756340
LineaH,17,1932494
LineaH,18,1812991
LineaH,19,1140034
LineaH,20,918028
LineaH,21,560201
LineaH,22,249953
LineaH,23,59104
LineaH,30,5
LineaH,45,9
